가가호호 방문하다
가게를 내다
가게를 보다
가게를 열다
가게를 차리다
가게를 하다
가격을 매기다
가난에 쪼들리다
가난에 찌들다
가난에 허덕이다
가난을 겪다
가난을 극복하다
가두시위를 벌이다
가랑이가 찢어지게 가난하다
가래가 끓다
가래를 뱉다
가래침을 뱉다
가루를 내다
가르마를 타다
가르침을 받다
가르침을 펴다
가뭄이 들다
가발을 쓰다
가벼운 농담
가벼운 식사
가벼운 운동
가보를 잡다
가부를 가리다
가부좌를 틀다
가뿐가뿐 걷다
가사를 돌보다
가산을 탕진하다
가상히 생각하다
가상히 여기다
가설을 세우다
가성을 내다
가세가 기울다
가세가 펴다
가속도가 붙다
가솔을 거느리다
가슴깊이 새기다
가슴에 사무치다
가슴에 품다
가슴을 졸이다
가슴이 답답하다
가슴이 두근거리다
가슴이 두방망이질치다
가슴이 두방망이질하다
가슴이 뛰다
가슴이 뭉클하다
가슴이 미어지다
가슴이 벅차다
가슴이 부풀다
가슴이 설레다
가슴이 울렁거리다
가슴이 조마조마하다
가슴이 찡하다
가슴이 철렁하다
가슴이 콩닥거리다
가슴이 쿵쿵 뛰다
가슴이 후련하다
가야금을 뜯다
가야금을 타다
가약을 맺다
가연을 맺다
가운을 걸치다
가운을 입다
가을이 가다
가을이 오다
가일층 노력하다
가정을 세우다
가정을 이루다
가지각색의 사람들
가지를 치다
가축을 먹이다
가축을 치다
가치가 없다
가치가 있다
가치가 적다
가치가 크다
가치를 높이다
가치를 두다
가탈을 부리다
가호가 있다
가호를 빌다
각고의 노력
각광을 받다
각도를 잡다
각도를 재다
각반을 차다
각반을 치다
각본을 짜다
각서를 받다
각서를 쓰다
각오가 들다
각오가 서다
각오를 다지다
각이 지다
각주를 달다
각축을 벌이다
각축전을 벌이다
간격을 두다
간격을 좁히다
간곡한 부탁
간극을 두다
간극을 메우다
간담이 서늘하다
간발의 차
간섭을 받다
간언을 올리다
간을 맛보다
간을 보다
간이 맞다
간절히 바라다
간지럼을 타다
간지럼을 태우다
갈기갈기 찢기다
갈기갈기 찢다
갈기갈기 찢어지다
갈등에 빠지다
갈등을 겪다
갈등을 빚다
갈등을 일으키다
갈등을 해소하다
갈래가 지다
갈림길에 서다
갈증을 풀다
갈증이 나다
갈채를 받다
갈채를 보내다
갈취를 당하다
감각이 둔하다
감각이 무디다
감각이 없다
감각이 예민하다
감각이 있다
감금을 당하다
감기가 낫다
감기가 들다
감기에 걸리다
감독을 받다
감동을 받다
감동을 주다
감명을 받다
감사를 나오다
감사를 드리다
감사를 받다
감사를 올리다
감상에 빠지다
감상에 젖다
감수성이 예민하다
감수성이 풍부하다
감시를 나오다
감시를 두다
감시를 받다
감언으로 속이다
감옥에 가다
감옥에 집어넣다
감옥에서 나오다
감을 잡다
감이 떨어지다
감이 멀다
감이 없다
감이 오다
감이 있다
감이 잡히다
감점을 받다
감정에 충실하다
감정에 치우치다
감정을 받다
감정을 의뢰하다
감정을 품다
감정이 있다
감정이 풍부하다
감질이 나다
감쪽같이 변장하다
감쪽같이 속다
감쪽같이 속이다
감칠맛이 나다
감화를 받다
감화를 주다
감화을 미치다
감회가 새롭다
감회에 젖다
감흥을 돋우다
감흥을 주다
감흥이 일다
값어치가 없다
값어치가 있다
값을 깎다
값을 매기다
값을 물다
값을 부르다
값을 치르다
값이 비싸다
값이 싸다
갓 태어나다
갓을 쓰다
강간을 당하다
강경책을 쓰다
강공책을 쓰다
강단이 있다
강도가 낮다
강도가 높다
강도가 들다
강도가 세다
강도가 약하다
강세를 보이다
강습을 받다
강의를 나가다
강의를 듣다
강의를 받다
강짜가 나다
강짜가 심하다
강짜를 부리다
강펀치를 터뜨리다
강풍이 불다
개가 짖다
개가를 올리다
개성을 살리다
개성이 강하다
개성이 없다
개성이 있다
개판이 되다
개평을 얻다
개평을 주다
객기를 부리다
거간을 서다
거나하게 취하다
거동이 불편하다
거동이 수상하다
거드름을 부리다
거드름을 피우다
거래가 끊기다
거래가 트이다
거래를 끊다
거래를 트다
거래를 틀다
거름을 주다
거리감을 느끼다
거리감이 없다
거리감이 있다
거리를 두다
거리를 좁히다
거리를 활보하다
거만을 떨다
거만을 부리다
거문고를 뜯다
거문고를 타다
거부감을 주다
거부감이 들다
거절을 당하다
거점을 두다
거짓말을 치다
거취를 표명하다
거침없는 행동
거침없이 말하다
거품을 내다
거품이 나다
거품이 일다
걱정을 끼치다
걱정을 덜다
걱정을 듣다
걱정이 들다
건강미가 넘치다
건강을 돌보다
건강을 잃다
건강을 지키다
건강을 해치다
건망증이 심하다
건방을 떨다
건방을 부리다
건방을 피우다
건방지게 굴다
건배를 들다
건수를 올리다
건투를 빌다
걸레로 훔치다
걸음을 걷다
걸음을 돌리다
걸음을 떼다
검문검색을 벌이다
검문에 걸리다
검문을 받다
검문을 펼치다
검버섯이 돋다
검버섯이 피다
검사를 받다
검색을 펼치다
검수를 받다
검열에 걸리다
검열을 받다
검인을 받다
검진을 받다
겁에 질리다
겁을 내다
겁을 먹다
겁을 먹이다
겁을 주다
겁을 집어먹다
겁이 나다
겁이 많다
겁이 없다
겅중겅중 달리다
겅중겅중 뛰다
겉멋을 부리다
겉멋이 들다
겉웃음을 치다
겉으로 보다
겉잠이 들다
게걸스레 먹다
게걸음을 치다
게릴라전을 벌이다
게릴라전을 펴다
게으름을 부리다
게으름을 피우다
겨울을 나다
겨울이 가다
겨울이 오다
격려를 받다
격론을 벌이다
격무에 시달리다
격식에 맞다
격식을 갖추다
격식을 따지다
격식을 차리다
격에 맞다
격이 떨어지다
격전을 벌이다
격전을 치르다
격차가 벌어지다
격차가 생기다
격차가 좁혀지다
격차를 좁히다
격찬을 받다
격투가 벌어지다
격투를 벌이다
견문을 넓히다
견장을 달다
견적을 내다
견제를 당하다
견제를 받다
견해를 내놓다
견해차를 보이다
견해차를 좁히다
결가부좌를 틀다
결과가 나오다
결과를 가져오다
결과를 끌어내다
결과를 내다
결과를 보다
결과물이 나오다
결국에 가다
결단을 내리다
결론에 도달하다
결론에 이르다
결론을 끌어내다
결론을 내다
결론을 내리다
결론을 맺다
결론을 얻다
결론을 짓다
결론이 나다
결론이 나오다
결말을 내다
결말을 맺다
결말을 보다
결말을 짓다
결말이 나다
결박을 짓다
결별을 고하다
결별을 선언하다
결속을 다지다
결손이 나다
결승에 오르다
결승에 진출하다
결실을 거두다
결실을 맺다
결실을 보다
결실이 있다
결심이 서다
결연을 맺다
결원이 생기다
결의를 다지다
결재가 나다
결재를 받다
결재를 올리다
결점을 고치다
결점을 찾다
결점이 있다
결정에 따르다
결정을 내리다
결정을 보다
결정을 짓다
결정이 나다
결정타를 가하다
결정타를 치다
결투를 벌이다
결투를 신청하다
결투에 응하다
결판을 내다
결판이 나다
결함을 고치다
결함을 찾다
결함이 있다
결혼식을 올리다
겸연쩍게 웃다
겸연쩍은 미소
경각심을 불러일으키다
경각심을 일깨우다
경각심을 주다
경계를 늦추다
경계를 이루다
경계를 펴다
경계를 풀다
경계망을 뚫다
경고를 받다
경고를 주다
경기가 과열되다
경기가 열리다
경기를 벌이다
경기를 일으키다
경기를 치르다
경기를 타다
경기를 펼치다
경력을 쌓다
경력이 있다
경력이 짧다
경련을 일으키다
경련이 일어나다
경례를 받다
경륜을 쌓다
경매에 붙이다
경보가 발령되다
경보가 해제되다
경비가 들다
경비를 대다
경비를 서다
경비를 조달하다
경사가 급하다
경사가 나다
경상을 입다
경솔히 굴다
경연을 벌이다
경영난에 부딪히다
경영난에 빠지다
경영난에 허덕이다
경외심을 품다
경우에 어긋나다
경위가 바르다
경위가 밝다
경위를 따지다
경위서를 내다
경위서를 받다
경위에 벗어나다
경의를 표하다
경쟁심을 부추기다
경쟁심을 북돋우다
경쟁을 벌이다
경쟁이 붙다
경쟁이 치열하다
경적을 울리다
경제난에 처하다
경제난에 허덕이다
경제난을 겪다
경주를 벌이다
경지에 이르다
경치가 좋다
경합을 벌이다
경향이 있다
경험을 넓히다
경험을 살리다
경험을 쌓다
경험이 많다
경험이 부족하다
경험이 있다
경험이 적다
경험이 풍부하다
곁눈을 주다
곁눈을 팔다
곁에 끼다
계교를 꾸미다
계교를 부리다
계교를 쓰다
계교에 말려들다
계교에 빠지다
계급장을 달다
계략에 걸리다
계략에 넘어가다
계략에 빠지다
계략을 꾸미다
계략을 쓰다
