가,ㄱㅏ
가급,ㄱㅏㄱㅡㅂ
가긍,ㄱㅏㄱㅡㅇ
가년,ㄱㅏㄴㅕㄴ
가능,ㄱㅏㄴㅡㅇ
가닐,ㄱㅏㄴㅣㄹ
가당,ㄱㅏㄷㅏㅇ
가독,ㄱㅏㄷㅗㄱ
가동,ㄱㅏㄷㅗㅇ
가둥,ㄱㅏㄷㅜㅇ
가드락,ㄱㅏㄷㅡㄹㅏㄱ
가들,ㄱㅏㄷㅡㄹ
가들막,ㄱㅏㄷㅡㄹㅁㅏㄱ
가무잡잡,ㄱㅏㅁㅜㅈㅏㅂㅈㅏㅂ
가물,ㄱㅏㅁㅜㄹ
가불,ㄱㅏㅂㅜㄹ
가뿐,ㄱㅏㅃㅜㄴ
가쁜,ㄱㅏㅃㅡㄴ
가소,ㄱㅏㅅㅗ
가스랑,ㄱㅏㅅㅡㄹㅏㅇ
가역,ㄱㅏㅇㅕㄱ
가연,ㄱㅏㅇㅕㄴ
가전,ㄱㅏㅈㅓㄴ
가증,ㄱㅏㅈㅡㅇ
가지런,ㄱㅏㅈㅣㄹㅓㄴ
가직,ㄱㅏㅈㅣㄱ
가치작,ㄱㅏㅊㅣㅈㅏㄱ
가칫,ㄱㅏㅊㅣㅅ
가탄,ㄱㅏㅌㅏㄴ
가탈,ㄱㅏㅌㅏㄹ
각,ㄱㅏㄱ
간,ㄱㅏㄴ
간곡,ㄱㅏㄴㄱㅗㄱ
간닥,ㄱㅏㄴㄷㅏㄱ
간단,ㄱㅏㄴㄷㅏㄴ
간당,ㄱㅏㄴㄷㅏㅇ
간댕,ㄱㅏㄴㄷㅐㅇ
간드랑,ㄱㅏㄴㄷㅡㄹㅏㅇ
간드작,ㄱㅏㄴㄷㅡㅈㅏㄱ
간들,ㄱㅏㄴㄷㅡㄹ
간략,ㄱㅏㄴㄹㅑㄱ
간명,ㄱㅏㄴㅁㅕㅇ
간사,ㄱㅏㄴㅅㅏ
간소,ㄱㅏㄴㅅㅗ
간악,ㄱㅏㄴㅇㅏㄱ
간이,ㄱㅏㄴㅇㅣ
간질,ㄱㅏㄴㅈㅣㄹ
간헐,ㄱㅏㄴㅎㅓㄹ
갈,ㄱㅏㄹ
갈강,ㄱㅏㄹㄱㅏㅇ
갈그랑,ㄱㅏㄹㄱㅡㄹㅏㅇ
갈신,ㄱㅏㄹㅅㅣㄴ
갈씬,ㄱㅏㄹㅆㅣㄴ
갈팡,ㄱㅏㄹㅍㅏㅇ
갉작,ㄱㅏㄺㅈㅏㄱ
갉죽,ㄱㅏㄺㅈㅜㄱ
감실,ㄱㅏㅁㅅㅣㄹ
갑갑,ㄱㅏㅂㄱㅏㅂ
갑작,ㄱㅏㅂㅈㅏㄱ
강,ㄱㅏㅇ
강경,ㄱㅏㅇㄱㅕㅇ
강고,ㄱㅏㅇㄱㅗ
강대,ㄱㅏㅇㄷㅐ
강력,ㄱㅏㅇㄹㅕㄱ
강렬,ㄱㅏㅇㄹㅕㄹ
강인,ㄱㅏㅇㅇㅣㄴ
개감,ㄱㅐㄱㅏㅁ
개신,ㄱㅐㅅㅣㄴ
개연,ㄱㅐㅇㅕㄴ
개활,ㄱㅐㅎㅘㄹ
객관,ㄱㅐㄱㄱㅘㄴ
갸륵,ㄱㅑㄹㅡㄱ
갸름,ㄱㅑㄹㅡㅁ
거국,ㄱㅓㄱㅜㄱ
거나,ㄱㅓㄴㅏ
거대,ㄱㅓㄷㅐ
거드럭,ㄱㅓㄷㅡㄹㅓㄱ
거들,ㄱㅓㄷㅡㄹ
거들먹,ㄱㅓㄷㅡㄹㅁㅓㄱ
거듬,ㄱㅓㄷㅡㅁ
거뜬,ㄱㅓㄸㅡㄴ
거룩,ㄱㅓㄹㅜㄱ
거무레,ㄱㅓㅁㅜㄹㅔ
거무스레,ㄱㅓㅁㅜㅅㅡㄹㅔ
거무스름,ㄱㅓㅁㅜㅅㅡㄹㅡㅁ
