같애	같아	같애'가 아니라 '같아'입니다.\n'-아'는 동사 어간에 붙어, 서술·의문·청유·명령을 나타내고, 형용사에 붙어 서술·의문을 나타내는 반말의 종결 어미입니다.
같에	같아	같에'가 아니라 '같아'입니다.\n'-아'는 동사 어간에 붙어, 서술·의문·청유·명령을 나타내고, 형용사에 붙어 서술·의문을 나타내는 반말의 종결 어미입니다.
햇(다|따)	했다	햇다'가 아니라 '했다'입니다.
했따	했다	했따'가 아니라 '했다'입니다.
맛춤(뻡|(뻐ㅃ))	맞춤법	맛춤뻡'이 아니라 '맞춤법'입니다.
ㅇ벗	없	오타입니다.\n'ㅇ벗'을 '없'으로 수정합니다.
어ㅐ	왜	오타입니다.\n'어ㅐ'을 '왜'로 수정합니다.
본것	본 것	
안됌	안됨	
뭔대	뭔데	
므ㅏ	뭐	
할가	할까	
도와조	도와줘	
씌여	쓰여	
(엥|앵)간히	엔간히	엥간히 앵간히, 전부 엔간히의 잘못된 표현입니다.
삼가해줘	삼가줘	
달디달다	다디달다	
내 (꺼|것)	내 거	내 꺼도, 내 것도 아닌 내 거가 맞습니다.
못쓸	몹쓸	
오랫만	오랜만	
뇌졸증	뇌졸중	
구어	구워	
찝찝하다	찜찜하다	찝찝하다'는 속어.
(앉|얹)히다	안치다	앉히다/얹히다'둘 다 틀린말.\n안치다 : 밥을 만들기 위해 재료를 솥에 넣고 불 위에 올리다.
삐지다	삐치다	삐지다'는 '토라지다'의 사투리.
덤뵤	덤벼	
있음에	있으매	있음에는 있으매의 잘못된 표현입니다.
일부로	일부러	
어떻해	어떡해	
어떡게	어떻게	
예기	얘기	
팬션	펜션	
햇어	했어	
괸찮아	괜찮아	
꽇	꽃	
깍이	깎이	
잇어	있어	
재밋	재밌	
오랴됨	오래됨	
(\w)겟(\w)	$1겠$2	~겟~가 아니죠(하겟어 X). ~겠~이 올바른 어미입니다.(하겠어)
돼어	되어	
돼냐	되냐	
되\s	돼	문장은 되로 끝나면 안됩니다. 되어, 됨과 같이 되 뒤에 다른 어미가 와야 합니다.
돼고	되고	
오랫만	오랜만	
역활	역할	
(몇 일)|(몇일)	며칠	몇 일도 몇일도 아닌 며칠입니다. 며칠은 "몇 일"을 편하게 발음해서 쓴 것이 아닙니다. '며칠'자체가 여러 날을 의미하는 단어입니다.
단언컨데	단언컨대	
되물림	대물림	
희안하	희한하	
제작년	재작년	
빈털털이	빈털터리	
궁시렁	구시렁	
핼쓱	핼쑥	
도데체	도대체	
